zoo - [зоопарк!, сторінка, лист, ветеринар]
kitchen - [кухня!, ліжко, кіт, спати] 
page - [сторінка!, вузький, дивний, сміятися]
radio - [радіо!, кит, робот, ніж] 
museum - [музей!, людина, чашка, диван]
bathroom - [ванна!, сонце, життя, мити]
enjoy - [насолоджуватися!, ліки, ніс, зуби]
dance - [злий, нещасний, танці!, заздрісний] 
fat - [дідусь, товстий!, тітка, сестра]
glass - [вода, полуниця, скло!, родина]
remember - [крокодил, пам'ятати!, повітря, кросівки] 
chair - [стілець!, їжа, ручка, рука]
near - [комаха, велосипед, близько!, потяг] 
bike - [велосипед!, червоний, нога, окуляри] 
pen - [двір, ручка!, кімната, хор]
newspaper - [театр, газета!, душа, вії]
village - [каблучка, капелюх, шкарпетки, містечко!]
want - [хотіти!, любов, мураха, занавіска]
tennis - [сад, теніс!, шити, історія]
watch - [дивитися!, спргалий, ревнивий, страшний]
