abandoned - [закинутий!, нажаханий, товстий, чарівний]
accuracy - [точний!, справедливий, засмічений, спростований] 
benefit - [переваги!, можливості, практика, міцний]
chew - [варити, жувати!, кусати, різати]  
darling - [кохана!, принцеса, поважна, горда]
eager - [нетерпляче!, ринути, поважати, голодний]
fire - [вогонь!, сухий, розрізати, мандрувати]
hammer - [різак, дримба, молоток!, барабани] 
hink - [підказка, гачок!, передзвін, брутто]
justify - [прекрасний, простий, виправдати!, справедливий]
lack - [витівка, удача!, гордість, напис] 
jam - [затор!, фікція, побачення, гомілка]
kneel - [щиколотка, литка, коліно!, передпліччя] 
obey - [підкорятися!, прислухатися, навчати, захищати] 
plot - [історія, сюжет!, плов, сумка]
tan - [цілитися, смаглявий!, срібний, підсмажений]
terms - [скатертина, розплановувати, розраховувати, терміни!]
unconscious - [несвідомий!, чіткий, визначений, перебільшувати]
valid - [послідовний, дійсний!, зазначений, просрочений]
yawn - [позіхати!, обіймати, розчищати, перемагати]
